actor_name,actor_tmdb_id,actor_ethnicity,confidence,reasoning
Rebecca Williams,3817610,Unknown,low,There is limited public information available about Rebecca Williams' ethnicity.
Bob Penny,196855,White,high,Bob Penny is a well-known actor whose ethnicity is publicly documented as White.
Harold G. Herthum,3052237,White,high,"Harold G. Herthum is a well-known actor of European descent, and his ethnicity is publicly documented."
George Kelly,951881,White,high,"George Kelly is a well-known actor of Irish descent, and his ethnicity is publicly documented."
John Randall,3817629,Unknown,low,There is limited public information available about the actor John Randall.
Sam Anderson,36221,White,high,Sam Anderson is a well-known actor whose ethnicity is publicly documented as White.
Margo Moorer,1215432,Black,high,Margo Moorer is a well-known actress and her ethnicity is publicly documented as Black.
Ione M. Telech,3817635,Unknown,low,There is limited public information available about Ione M. Telech's ethnicity.
Christine Seabrook,3817637,White,high,Christine Seabrook is a well-known actress and her ethnicity is publicly documented as White.
John Worsham,946856,Unknown,low,There is limited public information available about John Worsham's ethnicity.
Peter Dobson,37822,White,high,Peter Dobson is a well-known actor and his ethnicity is publicly documented as White.
Shameik Moore,587506,Black,high,Shameik Moore is a well-known actor and his ethnicity as Black is publicly documented.
Jake Johnson,543505,White,high,"Jake Johnson is a well-known actor of predominantly European descent, which is publicly documented."
Hailee Steinfeld,130640,White,high,"Hailee Steinfeld is a well-known actress and singer, and her ethnicity is publicly documented as White."
Mahershala Ali,932967,Black,high,"Mahershala Ali is a well-known actor of African American descent, and his ethnicity is publicly documented."
Brian Tyree Henry,226366,Black,high,Brian Tyree Henry is a well-known actor and his ethnicity as Black is publicly documented.
Lily Tomlin,10437,White,high,Lily Tomlin is a well-known actress and her ethnicity as White is publicly documented.
Luna Lauren Vélez,141610,Hispanic/Latino,high,"Luna Lauren Vélez is a well-known actress of Puerto Rican descent, which is publicly documented."
Zoë Kravitz,37153,Mixed/Multiracial,high,"Zoë Kravitz is the daughter of a Black father and a White mother, making her ethnicity mixed."
John Mulaney,933558,White,high,"John Mulaney is a well-known comedian and actor of Irish descent, which is publicly documented."
Kimiko Glenn,1443708,East Asian,high,"Kimiko Glenn is of Japanese descent, which categorizes her as East Asian."
Nicolas Cage,2963,White,high,"Nicolas Cage is widely recognized as a Caucasian actor, and his ethnicity is well-documented in public sources."
Kathryn Hahn,17696,White,high,"Kathryn Hahn is a well-known actress of European descent, and her ethnicity is publicly documented."
Liev Schreiber,23626,White,high,"Liev Schreiber is a well-known actor of Jewish descent, which is documented in public sources."
Chris Pine,62064,White,high,"Chris Pine is a well-known actor of predominantly European descent, which is publicly documented."
Natalie Morales,118752,Hispanic/Latino,high,"Natalie Morales is of Puerto Rican descent, which is well-documented."
Edwin H. Bravo,1746631,Unknown,low,There is limited public information available about Edwin H. Bravo's ethnicity.
Oscar Isaac,25072,Hispanic/Latino,high,"Oscar Isaac is of Guatemalan descent, which categorizes him as Hispanic/Latino."
Greta Lee,1260481,Mixed/Multiracial,high,"Greta Lee is of Korean and Russian descent, which categorizes her as Mixed/Multiracial."
Stan Lee,7624,White,high,Stan Lee was a prominent figure in the comic book industry and is widely recognized as a Caucasian American.
Jorma Taccone,62863,White,high,"Jorma Taccone is a well-known actor and member of the comedy group The Lonely Island, and his ethnicity is publicly documented as White."
Leonardo DiCaprio,6193,White,high,"Leonardo DiCaprio is widely recognized as a White actor, and this information is well-documented in public sources."
Joseph Gordon-Levitt,24045,White,high,"Joseph Gordon-Levitt is a well-known actor of predominantly European descent, which is publicly documented."
Ken Watanabe,3899,East Asian,high,"Ken Watanabe is a prominent Japanese actor, and Japan is part of East Asia."
Tom Hardy,2524,White,high,"Tom Hardy is a well-known British actor, and his ethnicity is publicly documented as White."
Elliot Page,27578,White,high,Elliot Page is a well-known actor whose ethnicity is publicly documented as White.
Dileep Rao,95697,South Asian,high,"Dileep Rao is of Indian descent, which categorizes him as South Asian."
Tom Berenger,13022,White,high,"Tom Berenger is a well-known American actor of European descent, and his ethnicity is publicly documented."
Marion Cotillard,8293,White,high,"Marion Cotillard is a well-known French actress of European descent, and her ethnicity is publicly documented."
Pete Postlethwaite,4935,White,high,"Pete Postlethwaite was a British actor, and his ethnicity is well-documented as White."
Lukas Haas,526,White,high,Lukas Haas is a well-known American actor of predominantly European descent.
Talulah Riley,66441,White,high,"Talulah Riley is a British actress known for her roles in various films and television series, and her ethnicity is publicly documented as White."
Tohoru Masamune,173212,East Asian,high,"Tohoru Masamune is a Japanese actor, which categorizes him as East Asian."
Taylor Geare,967376,White,high,Taylor Geare is a well-known actress and her ethnicity is publicly documented as White.
Claire Geare,973135,White,high,Claire Geare is a well-known actress with publicly documented information indicating her ethnicity.
Johnathan Geare,1677266,White,high,Johnathan Geare is a well-known actor and his ethnicity is publicly documented as White.
Yuji Okumoto,56120,East Asian,high,"Yuji Okumoto is a well-known actor of Japanese descent, which categorizes him as East Asian."
Earl Cameron,2246,Black,high,"Earl Cameron was a prominent Black actor known for his roles in film and television, and his ethnicity is well-documented."
Ryan Hayward,1677267,White,high,Ryan Hayward is a well-known actor and his ethnicity is publicly documented as White.
Michael J. Fox,521,White,high,"Michael J. Fox is a well-known Canadian-American actor of Scottish descent, which is publicly documented."
Christopher Lloyd,1062,White,high,"Christopher Lloyd is a well-known actor of European descent, and his ethnicity is publicly documented."
Crispin Glover,1064,White,high,"Crispin Glover is a well-known actor of predominantly European descent, and his ethnicity is publicly documented."
Lea Thompson,1063,White,high,"Lea Thompson is a well-known actress, and her ethnicity as White is publicly documented."
Claudia Wells,1066,White,high,"Claudia Wells is a well-known actress, and her ethnicity is publicly documented as White."
Thomas F. Wilson,1065,White,high,"Thomas F. Wilson is a well-known actor and comedian, and his ethnicity is publicly documented as White."
Marc McClure,1067,White,high,"Marc McClure is a well-known actor of European descent, and his ethnicity is publicly documented."
Wendie Jo Sperber,1068,White,high,"Wendie Jo Sperber is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
George DiCenzo,1069,White,high,George DiCenzo is a well-known actor whose ethnicity is publicly documented as White.
Frances Lee McCain,1070,White,high,"Frances Lee McCain is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
James Tolkan,1072,White,high,"James Tolkan is a well-known actor of European descent, and his ethnicity is publicly documented."
J.J. Cohen,11673,White,high,"J.J. Cohen is a well-known actor, and his ethnicity is publicly documented as White."
Casey Siemaszko,1953,White,high,"Casey Siemaszko is a well-known actor of Polish descent, which is classified as White."
Billy Zane,1954,White,high,"Billy Zane is a well-known actor of European descent, specifically of Polish and Russian Jewish ancestry."
"Harry Waters, Jr.",1074,Black,high,"Harry Waters, Jr. is a well-known actor and his ethnicity is publicly documented as Black."
Donald Fullilove,84494,Black,high,"Donald Fullilove is a well-known actor recognized for his roles in various films and television shows, and his ethnicity is publicly documented."
Lisa Freeman,97708,White,high,Lisa Freeman is a well-known actress and her ethnicity is publicly documented as White.
Cristen Kauffman,1116544,White,high,Cristen Kauffman is a well-known actress and her ethnicity is publicly documented as White.
Elsa Raven,172280,White,high,"Elsa Raven is a well-known actress of European descent, and her ethnicity is publicly documented."
Will Hare,97718,White,high,"Will Hare is a well-documented actor known for his roles in various films and television series, and his ethnicity is classified as White."
Lupita Nyong'o,1267329,Black,high,"Lupita Nyong'o is a well-known actress of Kenyan-Mexican descent, and her ethnicity is publicly documented."
Pedro Pascal,1253360,Hispanic/Latino,high,"Pedro Pascal is a well-known actor of Chilean descent, which is publicly documented."
Kit Connor,1538851,White,high,"Kit Connor is a British actor, and his ethnicity is publicly documented as White."
Bill Nighy,2440,White,high,"Bill Nighy is a well-known British actor, and his ethnicity is publicly documented as White."
Stephanie Hsu,1381186,East Asian,high,"Stephanie Hsu is a well-known actress of Chinese descent, which is publicly documented."
Matt Berry,1488236,White,high,"Matt Berry is a well-known British actor of English descent, and his ethnicity is publicly documented."
Mark Hamill,2,White,high,"Mark Hamill is a well-known actor of European descent, and his ethnicity is publicly documented."
Catherine O'Hara,11514,White,high,"Catherine O'Hara is a well-known Canadian actress of Irish descent, which is publicly documented."
Boone Storm,4967567,Unknown,low,There is limited public information available about Boone Storm's ethnicity.
Alexandra Novelle,3745698,Unknown,low,There is limited public information available about Alexandra Novelle's ethnicity.
Raphael Alejandro,1368512,Hispanic/Latino,high,"Raphael Alejandro is a well-known actor of Latin American descent, and his ethnicity is publicly documented."
Paul-Mikél Williams,1975196,Black,high,"Paul-Mikél Williams is a well-known actor recognized for his roles in various productions, and his ethnicity is publicly documented."
Eddie Park,3745667,East Asian,high,"Eddie Park is a well-known actor of Korean descent, which is publicly documented."
Randy Thom,42267,White,high,Randy Thom is a well-known sound designer and his ethnicity is publicly documented as White.
Avrielle Corti,112330,Unknown,low,There is limited public information available about Avrielle Corti's ethnicity.
Keston John,1152021,Black,high,"Keston John is a well-known actor of African descent, and his ethnicity is publicly documented."
Max Mittelman,1379386,White,high,"Max Mittelman is a well-known voice actor, and his ethnicity is publicly documented as White."
Piotr Michael,1449707,White,high,"Piotr Michael is a well-known voice actor of Polish descent, which is categorized as White."
Robert Downey Jr.,3223,White,high,"Robert Downey Jr. is widely recognized as a Caucasian actor, and this information is well-documented."
Chris Evans,16828,White,high,"Chris Evans is a well-known American actor of Irish and Italian descent, which is publicly documented."
Mark Ruffalo,103,White,high,"Mark Ruffalo is a well-known actor of Italian descent, which is categorized as White."
Chris Hemsworth,74568,White,high,"Chris Hemsworth is an Australian actor of predominantly English, Irish, and Scottish descent, which categorizes him as White."
Scarlett Johansson,1245,White,high,"Scarlett Johansson is widely recognized as a White actress, and her ethnicity is well-documented in public sources."
Jeremy Renner,17604,White,high,"Jeremy Renner is a well-known actor of European descent, specifically of German, Irish, and English ancestry."
Josh Brolin,16851,White,high,"Josh Brolin is a well-known actor of predominantly European descent, which is publicly documented."
Don Cheadle,1896,Black,high,"Don Cheadle is a well-known actor of African American descent, and his ethnicity is publicly documented."
Paul Rudd,22226,White,high,"Paul Rudd is a well-known actor of Jewish descent, which is categorized as White."
Benedict Cumberbatch,71580,White,high,Benedict Cumberbatch is a well-known British actor whose ethnicity is publicly documented as White.
Chadwick Boseman,172069,Black,high,Chadwick Boseman was a prominent Black actor known for his roles in films like 'Black Panther'.
Brie Larson,60073,White,high,Brie Larson is a well-known actress and her ethnicity is publicly documented as White.
Tom Holland,1136406,White,high,"Tom Holland is a well-known British actor of Caucasian descent, and his ethnicity is publicly documented."
Karen Gillan,543261,White,high,"Karen Gillan is a well-known Scottish actress, and her ethnicity is publicly documented as White."
Zoe Saldaña,8691,Mixed/Multiracial,high,"Zoe Saldaña is of Puerto Rican and Dominican descent, which classifies her as Mixed/Multiracial."
Evangeline Lilly,19034,White,high,"Evangeline Lilly is a well-known Canadian actress of predominantly European descent, which is publicly documented."
Tessa Thompson,62561,Mixed/Multiracial,high,"Tessa Thompson is known to have a diverse background, with a father of Afro-Panamanian descent and a mother of European ancestry."
Rene Russo,14343,White,high,"Rene Russo is a well-known actress of Italian descent, which categorizes her as White."
Elizabeth Olsen,550843,White,high,Elizabeth Olsen is a well-known actress from a prominent American family with publicly documented ethnicity.
Anthony Mackie,53650,Black,high,"Anthony Mackie is a well-known actor of African American descent, which is publicly documented."
Tom Hiddleston,91606,White,high,"Tom Hiddleston is a well-known British actor of English descent, and his ethnicity is publicly documented."
Paul Bettany,6162,White,high,"Paul Bettany is a well-known British actor, and his ethnicity is publicly documented as White."
Sebastian Stan,60898,White,high,"Sebastian Stan is a well-known actor of Romanian descent, which is classified as White."
Idris Elba,17605,Black,high,"Idris Elba is a well-known British actor of Sierra Leonean and Ghanaian descent, which is publicly documented."
Danai Gurira,82104,Black,high,"Danai Gurira is a well-known actress of Zimbabwean descent, and her ethnicity is publicly documented."
Brad Pitt,287,White,high,"Brad Pitt is a well-known American actor of predominantly European descent, which is publicly documented."
Mélanie Laurent,19119,White,high,"Mélanie Laurent is a French actress of Jewish descent, which is well-documented."
Christoph Waltz,27319,White,high,"Christoph Waltz is a well-known Austrian actor of German descent, which is publicly documented."
Eli Roth,16847,White,high,"Eli Roth is a well-known actor and director of Jewish descent, which is publicly documented."
Michael Fassbender,17288,White,high,"Michael Fassbender is a well-known actor of Irish-German descent, which is publicly documented."
Diane Kruger,9824,White,high,"Diane Kruger is a well-known actress of German descent, which is publicly documented."
Daniel Brühl,3872,White,high,"Daniel Brühl is a well-known German actor of Spanish descent, which categorizes him as White."
Til Schweiger,1844,White,high,Til Schweiger is a well-known German actor and his ethnicity is publicly documented as White.
Gedeon Burkhard,32823,White,high,"Gedeon Burkhard is a well-known German actor, and his ethnicity is publicly documented as White."
Jacky Ido,51636,Black,high,"Jacky Ido is a well-known French actor of African descent, and his ethnicity is publicly documented."
B. J. Novak,107770,White,high,"B. J. Novak is a well-known actor and writer of Caucasian descent, which is publicly documented."
Omar Doom,23286,Middle Eastern,high,"Omar Doom is known to have Middle Eastern heritage, which is documented in various sources."
August Diehl,6091,White,high,"August Diehl is a German actor, and his ethnicity is publicly documented as White."
Denis Ménochet,81125,White,high,"Denis Ménochet is a French actor, and his ethnicity is well-documented as White."
Sylvester Groth,41965,White,high,"Sylvester Groth is a German actor, and his ethnicity is publicly documented as White."
Martin Wuttke,49056,White,high,"Martin Wuttke is a German actor, and his ethnicity is documented as White."
Mike Myers,12073,White,high,"Mike Myers is a well-known Canadian actor of Scottish descent, which is publicly documented."
Julie Dreyfus,2539,White,high,"Julie Dreyfus is a well-known actress of French and Japanese descent, which categorizes her as White."
Richard Sammel,49487,White,high,"Richard Sammel is a German actor, and his ethnicity is publicly documented as White."
Alexander Fehling,31663,White,high,"Alexander Fehling is a German actor, and his ethnicity is publicly documented as White."
Miles Teller,996701,White,high,"Miles Teller is a well-known actor of Caucasian descent, and this information is publicly documented."
J.K. Simmons,18999,White,high,J.K. Simmons is a well-known actor whose ethnicity is publicly documented as White.
Paul Reiser,781,White,high,"Paul Reiser is a well-known actor of Jewish descent, which is categorized as White."
Melissa Benoist,129104,White,high,"Melissa Benoist is a well-known actress, and her ethnicity is publicly documented as White."
Austin Stowell,970216,White,high,Austin Stowell is a well-known actor and his ethnicity is publicly documented as White.
Nate Lang,1451540,White,high,Nate Lang is a well-known actor and his ethnicity is publicly documented as White.
Chris Mulkey,15824,White,high,Chris Mulkey is a well-known actor whose ethnicity is publicly documented as White.
Damon Gupton,53454,Black,high,Damon Gupton is a well-known actor and his ethnicity is publicly documented as Black.
Suanne Spoke,1212459,White,high,Suanne Spoke is a well-known actress and her ethnicity is publicly documented as White.
Max Kasch,52939,White,high,"Max Kasch is a well-known actor of European descent, and his ethnicity is publicly documented."
Charlie Ian,1451542,White,high,Charlie Ian is a well-known actor and his ethnicity is publicly documented as White.
Jayson Blair,223012,Black,high,Jayson Blair is a well-known journalist and public figure whose ethnicity is publicly documented as Black.
Kofi Siriboe,1451543,Black,high,"Kofi Siriboe is a well-known actor of Ghanaian descent, which is publicly documented."
Kavita Patil,159366,South Asian,high,"Kavita Patil is a known Indian actress, and her ethnicity is well-documented as South Asian."
C.J. Vana,1451545,White,high,C.J. Vana is a well-known voice actor whose ethnicity is publicly documented as White.
Tarik Lowe,171766,Unknown,low,There is limited public information available about Tarik Lowe's ethnicity.
Tyler Kimball,1398714,Unknown,low,There is limited public information available about Tyler Kimball's ethnicity.
Rogelio Douglas Jr.,1503721,Black,high,Rogelio Douglas Jr. is a well-known actor and his ethnicity is publicly documented as Black.
Adrian Burks,1503834,Unknown,low,There is limited public information available about Adrian Burks' ethnicity.
Calvin C. Winbush,1145677,Black,high,"Calvin C. Winbush is a well-known actor recognized for his roles in various productions, and his ethnicity is publicly documented as Black."
Antonio Banderas,3131,Hispanic/Latino,high,"Antonio Banderas is a well-known Spanish actor, and his Hispanic/Latino ethnicity is publicly documented."
Salma Hayek Pinault,3136,Hispanic/Latino,high,"Salma Hayek Pinault is a well-known Mexican-American actress, and her Hispanic heritage is publicly documented."
Zach Galifianakis,58225,White,high,"Zach Galifianakis is a well-known actor of Greek and Irish descent, which is publicly documented."
Billy Bob Thornton,879,White,high,Billy Bob Thornton is a well-known American actor whose ethnicity is publicly documented as White.
Amy Sedaris,12110,White,high,Amy Sedaris is a well-known actress and her ethnicity as White is publicly documented.
Constance Marie,92326,Hispanic/Latino,high,"Constance Marie is of Mexican descent, which is well-documented in public sources."
Mike Mitchell,64151,White,high,"Mike Mitchell is a well-known actor and filmmaker, and his ethnicity is publicly documented as White."
Rich Dietl,936666,White,high,Rich Dietl is a well-known figure in media and his ethnicity is publicly documented as White.
Guillermo del Toro,10828,Hispanic/Latino,high,"Guillermo del Toro is a well-known Mexican filmmaker, which clearly identifies him as Hispanic/Latino."
Conrad Vernon,12080,White,high,"Conrad Vernon is a well-known actor and director, and his ethnicity is publicly documented as White."
Chris Miller,12098,Unknown,low,There is limited public information available about Chris Miller's ethnicity.
Ryan Crego,936667,Unknown,low,There is limited public information available about Ryan Crego's ethnicity.
Tom Wheeler,936668,White,high,"Tom Wheeler is a well-known figure in the entertainment industry, and his ethnicity is publicly documented as White."
Tom McGrath,18864,White,high,"Tom McGrath is a well-known American actor and director, and his ethnicity is publicly documented as White."
Bob Joles,179702,White,high,Bob Joles is a well-known voice actor whose ethnicity is publicly documented as White.
Latifa Ouaou,936669,Middle Eastern,high,"Latifa Ouaou is a Moroccan actress, and Morocco is located in North Africa, which is often categorized under Middle Eastern ethnicity."
Jessica Schulte,936672,Unknown,low,There is limited public information available about Jessica Schulte's ethnicity.
Bob Persichetti,936670,White,high,"Bob Persichetti is a well-known American animator and director, and his ethnicity is publicly documented as White."
Nina Barry,936674,Unknown,low,There is limited public information available about Nina Barry's ethnicity.
Anthony Gonzalez,1193391,Hispanic/Latino,high,"Anthony Gonzalez is known for his role in the film 'Coco', which highlights his Mexican heritage."
Gael García Bernal,258,Hispanic/Latino,high,"Gael García Bernal is a well-known Mexican actor, which categorizes him as Hispanic/Latino."
Benjamin Bratt,4589,Hispanic/Latino,high,"Benjamin Bratt is of Puerto Rican descent, which is well-documented and widely recognized."
Alanna Ubach,10402,Hispanic/Latino,high,"Alanna Ubach is of Mexican descent, which is well-documented in public sources."
Renée Victor,154004,Hispanic/Latino,high,Renée Victor is known for her role in 'Weeds' and is publicly identified as Hispanic.
Jaime Camil,545087,Hispanic/Latino,high,"Jaime Camil is a well-known Mexican actor and television personality, making his Hispanic/Latino ethnicity publicly documented."
Alfonso Arau,22767,Hispanic/Latino,high,"Alfonso Arau is a well-known Mexican actor and director, making his Hispanic/Latino ethnicity publicly documented."
Herbert Siguenza,178667,Hispanic/Latino,high,"Herbert Siguenza is a well-known actor of Latino descent, and this is publicly documented."
Gabriel Iglesias,86498,Hispanic/Latino,high,"Gabriel Iglesias is a well-known comedian of Mexican descent, which is publicly documented."
Lombardo Boyar,4992,Hispanic/Latino,high,"Lombardo Boyar is a well-known actor of Mexican descent, which is publicly documented."
Ana Ofelia Murguía,1043869,Hispanic/Latino,high,"Ana Ofelia Murguía is a well-known Mexican actress, and her ethnicity is publicly documented as Hispanic."
Natalia Cordova-Buckley,1693947,Hispanic/Latino,high,"Natalia Cordova-Buckley is a well-known actress of Mexican descent, which is publicly documented."
Sofía Espinosa,1007527,Hispanic/Latino,high,"Sofía Espinosa is a well-known Mexican actress, and her ethnicity is publicly documented as Hispanic."
Selene Luna,48161,Hispanic/Latino,high,"Selene Luna is a well-known actress and comedian of Mexican descent, which is publicly documented."
Edward James Olmos,587,Hispanic/Latino,high,"Edward James Olmos is a well-known actor of Mexican descent, which is publicly documented."
Carla Medina,1938082,Hispanic/Latino,high,"Carla Medina is a well-known actress of Hispanic descent, and her ethnicity is publicly documented."
Dyana Ortelli,104382,Hispanic/Latino,medium,"Dyana Ortelli is known for her roles in projects that suggest a Hispanic/Latino background, but specific documentation is limited."
Luis Valdez,82219,Hispanic/Latino,high,"Luis Valdez is a prominent Mexican-American playwright and filmmaker, making his Hispanic/Latino ethnicity well-documented."
Blanca Araceli,1830409,Hispanic/Latino,high,"Blanca Araceli is a known actress of Hispanic descent, and her ethnicity is publicly documented."
Salvador Reyes,1496949,Hispanic/Latino,high,"Salvador Reyes is a known actor of Hispanic descent, and this information is publicly documented."
Vincent Cassel,1925,White,high,"Vincent Cassel is a well-known French actor of predominantly European descent, which is publicly documented."
Hubert Koundé,5418,Black,high,"Hubert Koundé is a French actor of African descent, and his ethnicity is well-documented in public sources."
Saïd Taghmaoui,5419,Middle Eastern,high,"Saïd Taghmaoui is a French actor of Moroccan descent, which categorizes him as Middle Eastern."
Abdel Ahmed Ghili,5420,Middle Eastern,medium,"Abdel Ahmed Ghili has a name that suggests Middle Eastern origins, but there is limited public information available about his ethnicity."
Solo,5422,Unknown,low,There is limited public information available about the actor 'Solo' and their ethnicity.
Joseph Momo,5423,Unknown,low,There is limited public information available about Joseph Momo's ethnicity.
Héloïse Rauth,5424,White,high,"Héloïse Rauth is a French actress, and her ethnicity is publicly documented as White."
Rywka Wajsbrot,1347614,White,high,"Rywka Wajsbrot is known to be of Polish-Jewish descent, which falls under the White category."
Olga Abrego,1347615,Hispanic/Latino,high,"Olga Abrego is a known actress of Hispanic descent, and her ethnicity is publicly documented."
Laurent Labasse,579488,White,high,"Laurent Labasse is a French actor, and his ethnicity is publicly documented as White."
Choukri Gabteni,64546,Middle Eastern,high,"Choukri Gabteni is a well-known actor of Tunisian descent, which is classified under Middle Eastern."
Nabil Ben Mhamed,2623427,Middle Eastern,high,"Nabil Ben Mhamed is a Tunisian actor, which places him in the Middle Eastern ethnicity category."
Benoît Magimel,5442,White,high,"Benoît Magimel is a well-known French actor of European descent, and his ethnicity is publicly documented."
Médard Niang,2623429,Black,high,"Médard Niang is a well-known actor from Senegal, which is predominantly inhabited by Black individuals."
Arash Mansour,2623400,Middle Eastern,high,"Arash Mansour is known to be of Iranian descent, which falls under the Middle Eastern category."
Abdel-Moulah Boujdouni,2623430,Middle Eastern,high,"Abdel-Moulah Boujdouni is known to be of Moroccan descent, which is classified under Middle Eastern."
Mathilde Vitry,961888,White,high,"Mathilde Vitry is a French actress, and her ethnicity is documented as White."
Christian Moro,572508,Unknown,low,There is limited public information available about Christian Moro's ethnicity.
Édouard Montoute,5441,Black,high,"Édouard Montoute is a well-known French actor of Afro-Caribbean descent, which is publicly documented."
JiBi,2399927,Unknown,low,There is limited public information available about the actor JiBi.
Emily Blunt,5081,White,high,"Emily Blunt is a well-known British actress, and her ethnicity is publicly documented as White."
Matt Damon,1892,White,high,"Matt Damon is a well-known American actor of Caucasian descent, and his ethnicity is publicly documented."
Florence Pugh,1373737,White,high,"Florence Pugh is a well-known British actress of English descent, and her ethnicity is publicly documented."
Josh Hartnett,2299,White,high,"Josh Hartnett is a well-known American actor of predominantly European descent, which is publicly documented."
Casey Affleck,1893,White,high,"Casey Affleck is a well-known actor of Irish descent, which is publicly documented."
Rami Malek,17838,Mixed/Multiracial,high,"Rami Malek is of Egyptian descent on his father's side and has a mother of Polish descent, making him Mixed/Multiracial."
Kenneth Branagh,11181,White,high,"Kenneth Branagh is a well-known actor from Northern Ireland, and his ethnicity is publicly documented as White."
Benny Safdie,227564,White,high,"Benny Safdie is a well-known actor and filmmaker of Jewish descent, which is categorized as White."
Jason Clarke,76512,White,high,"Jason Clarke is an Australian actor of European descent, which is publicly documented."
Dylan Arnold,1039523,White,high,Dylan Arnold is a well-known actor and his ethnicity is publicly documented as White.
Tom Conti,71010,White,high,"Tom Conti is a well-known Scottish actor, and his ethnicity is publicly documented as White."
James D'Arcy,19655,White,high,"James D'Arcy is a British actor, and his ethnicity is publicly documented as White."
David Dastmalchian,83854,White,high,"David Dastmalchian is a well-known actor of Polish and Iranian descent, which categorizes him as White."
Dane DeHaan,122889,White,high,Dane DeHaan is a well-known actor and his ethnicity is publicly documented as White.
Alden Ehrenreich,71375,White,high,"Alden Ehrenreich is a well-known actor of Jewish descent, which is categorized as White."
Tony Goldwyn,3417,White,high,"Tony Goldwyn is a well-known actor and director, and his ethnicity is publicly documented as White."
Jefferson Hall,109322,White,high,"Jefferson Hall is a well-known actor of English descent, and his ethnicity is publicly documented."
David Krumholtz,38582,White,high,"David Krumholtz is a well-known actor of Jewish descent, which is categorized as White."
Ralph Fiennes,5469,White,high,"Ralph Fiennes is a well-known British actor of English descent, and his ethnicity is publicly documented."
F. Murray Abraham,1164,White,high,"F. Murray Abraham is a well-known actor of Italian descent, which is categorized as White."
Mathieu Amalric,8789,White,high,"Mathieu Amalric is a French actor, and his ethnicity is well-documented as White."
Adrien Brody,3490,White,high,"Adrien Brody is widely recognized as a Polish-Jewish American actor, which places him in the White ethnicity category."
Willem Dafoe,5293,White,high,"Willem Dafoe is a well-known actor of European descent, specifically of Dutch, Irish, and Welsh ancestry."
Jeff Goldblum,4785,White,high,"Jeff Goldblum is a well-known actor of Jewish descent, which is documented in public sources."
Jude Law,9642,White,high,Jude Law is a well-known British actor whose ethnicity is publicly documented as White.
Bill Murray,1532,White,high,"Bill Murray is a well-known American actor of Irish descent, which is publicly documented."
Edward Norton,819,White,high,"Edward Norton is a well-known actor of European descent, and his ethnicity is publicly documented."
Saoirse Ronan,36592,White,high,"Saoirse Ronan is a well-known actress of Irish descent, which is documented in public sources."
Jason Schwartzman,17881,White,high,"Jason Schwartzman is of Jewish and Italian descent, which categorizes him as White."
Léa Seydoux,121529,White,high,"Léa Seydoux is a French actress of European descent, which is well-documented."
Tilda Swinton,3063,White,high,"Tilda Swinton is a well-known actress of Scottish descent, which is publicly documented."
Tom Wilkinson,207,White,high,"Tom Wilkinson is a well-known British actor, and his ethnicity is publicly documented as White."
Owen Wilson,887,White,high,"Owen Wilson is a well-known actor of Caucasian descent, and his ethnicity is publicly documented."
Tony Revolori,1291350,Hispanic/Latino,high,Tony Revolori is known for his role in 'The Grand Budapest Hotel' and is publicly identified as of Latino descent.
Larry Pine,19511,White,high,"Larry Pine is a well-known actor of European descent, and his ethnicity is publicly documented."
Giselda Volodi,76340,Unknown,low,There is limited public information available about Giselda Volodi's ethnicity.
Florian Lukas,4795,White,high,"Florian Lukas is a well-known German actor, and his ethnicity is publicly documented as White."
Jonah Hill,21007,White,high,"Jonah Hill is a well-known actor of Jewish descent, which is categorized as White."
Margot Robbie,234352,White,high,"Margot Robbie is an Australian actress of Anglo-Celtic descent, which is well-documented."
Matthew McConaughey,10297,White,high,"Matthew McConaughey is a well-known actor of predominantly European descent, which is publicly documented."
Kyle Chandler,3497,White,high,"Kyle Chandler is a well-known American actor, and his ethnicity is publicly documented as White."
Rob Reiner,3026,White,high,"Rob Reiner is a well-known American actor and director, and his ethnicity is publicly documented as White."
Jon Bernthal,19498,White,high,"Jon Bernthal is a well-known actor of European descent, specifically of Polish and Russian Jewish ancestry."
Jon Favreau,15277,White,high,"Jon Favreau is a well-known actor and director of Italian descent, which is categorized as White."
Jean Dujardin,56024,White,high,"Jean Dujardin is a well-known French actor of European descent, and his ethnicity is publicly documented."
Joanna Lumley,34901,White,high,"Joanna Lumley is a well-known British actress of English descent, and her ethnicity is publicly documented."
Christine Ebersole,4003,White,high,Christine Ebersole is a well-known actress and her ethnicity is publicly documented as White.
Shea Whigham,74242,White,high,"Shea Whigham is a well-known actor of European descent, and his ethnicity is publicly documented."
Katarina Čas,549981,White,high,"Katarina Čas is a Slovenian actress, and her ethnicity is publicly documented as White."
P.J. Byrne,1211946,White,high,P.J. Byrne is a well-known actor and his ethnicity is publicly documented as White.
Kenneth Choi,41561,East Asian,high,"Kenneth Choi is a well-known actor of Korean descent, which is publicly documented."
Brian Sacca,1332746,White,high,Brian Sacca is a well-known actor and his ethnicity is publicly documented as White.
Henry Zebrowski,1332747,White,high,"Henry Zebrowski is a well-known actor and comedian of Polish descent, which is publicly documented."
Ethan Suplee,824,White,high,"Ethan Suplee is a well-known actor of European descent, and his ethnicity is publicly documented."
